"Submission Id","Quad","Tag","StemTag","Species","QX","QY","DBH","Status 2020","HOM","Status 2021","DWR","Crown position","Dead crown position","Dead DBH","Percentage of crown intact","Percentage of crown living","Lean angle if greater than 15 degrees","Lianas","FAD","Wounded main stem","Canker; swelling, deformity","Rotting trunk","Notes 2021","Crown thinning","Epicormic growth","EABF","D-shaped exit hole count","Crown position < 10 cm DBH"
"8cb62d4c-821c-4795-8386-53ef1cf0c3b8","1216","121364","1","fram","8.6","6.7","360","AU","1.3","DS","False","3","I",360,50,0,20,"0","B,F","2","3",NA,NA,"5","1","AS,DE",16,"I"
"032704b6-8889-4284-ac1a-56aad8f54939","1606","160907","1","fram","1.3","19.2","145","A","1.3","A","False","1",NA,NA,100,20,NA,"0","I",NA,NA,NA,NA,"5","4","SS,W",NA,NA
"25c00a1f-a572-4b4d-9fe2-da16f1baa9b9","502","50160","1","fram","7.4","11","908","DS","1.3","PD","False","4",NA,NA,40,0,NA,"0","I",NA,NA,NA,NA,"5","2","W,DE",15,NA
"02474085-54ea-4dd7-b82a-3f3e84924639","112","10642","1","fram","2.5","229.7","797","A","1.3","A","False","4",NA,NA,100,100,NA,"0",NA,NA,NA,NA,NA,"1","4","W",NA,NA
