"error_name","SurveyorID","Submission.Id","Quad","Tag","StemTag","Species","QX","QY","DBH","Status.2020","HOM","Status.2021","DWR","Crown.position","Dead.crown.position","Dead.DBH","Percentage.of.crown.intact","Percentage.of.crown.living","Lean.angle.if.greater.than.15.degrees","Lianas","FAD","Wounded.main.stem","Canker..swelling..deformity","Rotting.trunk","Notes.2021","Crown.thinning","Epicormic.growth","EABF","D.shaped.exit.hole.count","Crown.position...10.cm.DBH"
"unhealthy_but_wrong_status","BC","3eb16451-cf94-4ed4-9742-0e25c62bf005","122","12171","1","frni","14.2","12","135","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","UP,B","3",NA,NA,NA,"5","0","VB,W",0,NA
"unhealthy_but_wrong_status","BC","5b18eb5e-d15b-4eef-9d41-28c891e3f89b","1223","122275","1","pist","14.6","9.6","155","PD","1.3","PD","False","1",NA,NA,50,0,NA,"0","R,W","2",NA,"2",NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","5b18eb5e-d15b-4eef-9d41-28c891e3f89b","1223","122283","1","cato","11.8","18","145","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","UP","3",NA,"3",NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","36b23cbc-e876-467c-8c89-1de384625973","1226","122452","1","fram","5.7","2.4","524","DS","1.3","PD","False","3",NA,NA,30,0,NA,"0","I",NA,NA,NA,NA,"5","0","VB,W,DE",8,"CD"
"unhealthy_but_wrong_status","BC","893c2c42-3c91-4e6a-ae2c-6dae7b8c9c2a","123","12199","1","nysy","8.8","2.8","310","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","B,R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","a22ec385-637f-4984-8536-c362590280ee","124","12234","1","fram","14.2","1.2","320","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0",NA,"3",NA,"3",NA,"5","0","AS,W",0,NA
"epicormic_growth_but_not_AU","BC","21528247-2d0a-484e-b89e-a70f34f364ec","125","12266","1","frpe","10.6","7.2","136","A","1.3","DS","False","2","I",137,50,0,NA,"0","I",NA,NA,NA,NA,"5","2","W,SS",0,NA
"unhealthy_but_wrong_status","BC","21528247-2d0a-484e-b89e-a70f34f364ec","125","12271","1","fram","14.9","18.1","111","PD","1.3","PD","False","1",NA,NA,30,0,NA,"0","I",NA,NA,NA,NA,"5","0","W,DE",2,NA
"unhealthy_but_wrong_status","BC","b0b6953f-0b59-4219-bf54-72a9dde07bd3","128","12351","1","fram","4.1","4.2","126","DS","1.3","PD","False","3",NA,NA,0,0,NA,"4","I",NA,NA,NA,NA,"5","0","W,DE",1,NA
"unhealthy_but_wrong_status","BC","90e01ea0-f736-4afa-a5d1-27c244a8a7e6","129","12392","1","litu","17.2","1.1","111","DS","1.3","PD","False","1",NA,NA,0,0,NA,"0","B","3",NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","90e01ea0-f736-4afa-a5d1-27c244a8a7e6","129","12419","1","prav","12.9","16.9","125","PD","1.3","PD","False","2",NA,NA,0,0,NA,"0","B","3",NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","076eebb4-2cf2-4175-967d-56ea764e9612","130","12442","1","prav","15.3","8.3","260","PD","1.3","PD","False","1",NA,NA,20,0,NA,"0","AN,R",NA,NA,"3",NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","2c50a3fe-a576-4343-aaeb-96abcf55f7ec","131","12475","1","frpe","3.8","1.7","105","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","UP,I","3",NA,NA,NA,"5","0","W",0,NA
"unhealthy_but_wrong_status","BC","777defe6-e42e-489a-b4b6-74e1a20618f4","1315","131272","1","fram","18.5","2.2","956","AU","1.3","PD","False",NA,NA,NA,0,0,NA,"0","B,I","3",NA,NA,"completely broken stem, unable to do any analysis",NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","777defe6-e42e-489a-b4b6-74e1a20618f4","1315","131300","1","fram","12","11.4","732","DS","1.3","PD","False","4",NA,NA,30,0,NA,"0","I",NA,NA,NA,NA,"5","0","W,AS,VB,DE",5,NA
"unhealthy_but_wrong_status","BC","a8e13432-fb05-494a-b6d3-d938e36fe81f","1316","131352","1","fram","5.5","3.3","1020","DS","1.3","PD","False","4",NA,NA,50,0,NA,"0","I",NA,NA,NA,NA,"5","0","VB,W,DE",25,NA
