ObjectID,quadrat,tag,StemTag,sp,dbh_2023,hom,lx,ly,status_2025,fad_2025,comment_2025,status_2026,mort_census_status,fad_choices,fad_2026,lean_angle,liana_load,dead_with_resprout,crown_intact,crown_living,crown_check,comment_mortality_2026,GlobalID,ParentGlobalID,BLD
1,0101,12130,2,tiam,209,1.3,16.8,7.89999999999998,A,,,,not started,,,1,0,0,,,,,9c1653e0-c408-4029-8a41-801d33ba7a9f,45d105f4-d0c3-4d80-a3c8-8e83d56d5339,0
2,0101,12165,2,nysy,132,1.3,14.2,8.5,A,,,,not started,,,1,0,0,,,,,eb5bdd37-47f6-4e93-9cb7-1daeb464c03c,1966b4d6-d9dc-499d-9b51-c3d4093b46ab,0
3,0101,12178,2,tiam,365,1.3,15.2,15.5,A,,,,not started,,,1,0,0,,,,,291788ad-c876-4b3d-82c1-4da17bc4e754,dbc64a6d-f54b-4209-be5e-1e5720c7b70f,0
4,0101,12249,2,caca,121,1.3,13,15.5,AU,"W,R",,,not started,,,1,0,0,,,,,737af2e3-6489-4961-8ea8-f296afcbc0aa,22fcb5bb-d89f-4baf-ab01-9e0d852f9463,0
5,0101,12334,2,havi,120,1.3,1.8,5.79999999999995,AU,"DF,W",,,not started,,,1,0,0,,,,,048438c3-e171-4744-9aa4-23ced9da46e5,db0af670-7686-48d9-9e13-b89c886dd6e7,0
6,0101,12413,2,litu,375,1.3,0,19.6,A,,,,not started,,,1,0,0,,,,,abc3e84b-6554-4a47-a250-c7b2d00566f6,ca100775-efad-497c-a012-42ae0afde377,0
7,0102,10704,2,cato,337,1.3,11.6,19.1,A,,,LI,finished,,,1,0,0,5,5,,,2bbc9451-9db1-40f0-a6e0-fe67c1d3242a,f03ad0d1-3c56-43a7-8da9-2b2612bf174c,0
8,0103,10160,2,acru,635,1.3,11.5,2.6,AU,"B,K,F",,,not started,,,1,0,0,,,,,0fd56a0b-813e-4d4b-bb80-c715bb3c0d29,8b1016cb-8a19-4843-a601-bf05b4c44dde,0
9,0104,13426,2,acne,136,1.3,2,13.3,AU,"DF,U",,,not started,,,1,0,0,,,,,89f454f9-d6a0-41ff-a56c-37ffd6126cf2,cffd63f5-8f05-41cf-aebf-70933d03b71a,0
10,0105,10263,2,acne,140,1.3,1.1,15.9,AU,"DF,K",,,not started,,,1,0,0,,,,,c6a665fc-2ab8-4902-b9b3-441d5b0b3b91,83dd1c1f-445f-4770-807f-bab8adf5e2df,0
11,0110,10494,2,havi,105,1.3,19.2,6.30000000000001,AU,"K,W",,LI,finished,,,1,0,0,5,5,,,198eac61-4d1a-4927-89a7-d8aa83e5731e,56f622fa-3a39-4c02-8f64-91429988a384,0
12,0119,12229,2,fram,180,1.3,1.5,13.6,DS,,,,not started,,,1,0,0,,,,,aa0a99a0-92de-4a31-b5f4-a5c9afdafa33,dc5fa672-2ee2-4ec5-937a-dd8d2c5e2162,0
13,0124,12233,5,havi,102,1.3,12.9,1,A,,Should be 3 not 5,,not started,,,1,0,0,,,,,0ec9c230-bc0a-4e83-a55e-c3360c0dd8d5,332b97c1-6690-4885-9765-9edbd26541e4,0
14,0124,12233,6,havi,112,1.3,12.9,1,AU,B,Should be 2 not 6,,not started,,,1,0,0,,,,,3a17bafc-c47a-49df-834a-afb54db0fe15,332b97c1-6690-4885-9765-9edbd26541e4,0
15,0130,12474,2,litu,122,1.3,2.5,16.7,DS,,,,not started,,,1,0,0,,,,,424e595d-1af3-4388-b12a-25a90521d50f,6078afdc-62f8-42a4-8101-5765fe0529b1,0
16,0206,20533,2,caca,119,1.3,8.6,17.3,AU,"B,W",,LI,finished,,,1,2,0,5,5,,,7c0fd135-4612-416b-a0bf-933c0646ce24,a3150805-b713-45d5-aead-cea30ce4956e,0
17,0207,20564,2,caca,109,1.3,14.1,8.90000000000001,A,,,LI,finished,,,1,3,0,5,5,,,c629722d-1b86-4508-b78f-7411be1f064d,34cd0001-7f8d-459b-bc68-46f1d88240f7,0
18,0217,22004,2,litu,285,1.3,8.6,1.69999999999999,A,,,,not started,,,1,0,0,,,,,74b6054d-91d9-42d7-95c8-13c1997776b9,5b1c5882-b7c7-41a2-b463-2a5004ed56e5,0
19,0220,22123,2,tiam,328,1.3,0,1.10000000000002,A,,,,not started,,,1,0,0,,,,,5c9d722a-fd5f-44ca-a9cc-3d1c627258af,1a1a4e43-fbb1-4da9-9689-d26803a75b89,0
20,0222,22178,2,tiam,310,1.3,6.3,2.5,A,,,,not started,,,1,0,0,,,,,db20d860-52e9-484c-89b3-9d2c8987a5b5,9ab11735-7530-4c0d-bb9a-bc4b0c2c857c,0
21,0222,22186,2,tiam,345,1.3,17,7.5,A,,,,not started,,,1,0,0,,,,,cd55e54c-1c7c-4208-ae07-b8c5d5e7ca38,34ae0180-1f5e-4e0b-9cae-7f86814caefe,0
22,0224,22255,2,caca,104,1.3,3,7.10000000000002,AU,"CR,W",,,not started,,,1,0,0,,,,,aaca30a0-6ffb-41d6-a862-788f86eed343,6a9ace1a-a346-4b96-b503-08d125c9e3da,0
23,0226,22349,2,litu,659,1.3,18.5,11.2,A,,,,not started,,,1,0,0,,,,,eefa8d03-d142-4615-8093-a368894df9c3,c35aa2a1-0683-401b-84a1-f5e03bb62ac6,0
24,0231,22613,2,litu,136,1.3,3,17.8,A,,,,not started,,,1,0,0,,,,,360794a0-b4ed-4deb-aa37-269ba2f88c93,b949772b-6bd4-46aa-8d45-fff37bf17261,0
25,0302,30052,2,caca,102,1.3,2.9,18.8,A,,,,not started,,,1,0,0,,,,,20aa7bf1-3950-4610-9273-0d005b736c06,3841aa9f-254d-471d-a477-4371a22fab5c,0
26,0304,30095,2,qupr,211,1.3,6.7,19.3,AU,K,,,not started,,,1,0,0,,,,,2ddd9279-1110-408b-a7aa-82bec1d3e8ee,a9052653-19d5-4548-9e85-32d589d96b82,0
27,0305,30220,2,qupr,375,1.3,8.6,6.40000000000001,A,,,,not started,,,1,0,0,,,,,4f24d6a0-cf95-4dc0-a7d3-9c532c3d2410,30390896-356e-4a9c-84eb-da936590cd7c,0
28,0307,30339,2,litu,557,1.3,8.6,4.09999999999999,A,,,LI,finished,,,1,0,0,5,5,,,273b92b8-8db2-4cb7-bebc-537bfcfed870,649ea6cb-3baf-4fda-9ade-8edd1ed0e752,0
29,0307,30339,3,litu,162,1.3,8.6,4.09999999999999,A,,,LI,finished,,,1,0,0,5,5,,,052fddde-b21e-4e88-a9c3-92a4feebabe8,649ea6cb-3baf-4fda-9ade-8edd1ed0e752,0
30,0307,30362,2,caca,115,1.3,12.8,17.1,AU,"W,R,LF",,LI,finished,R,"W,B,R",1,0,0,4,4,,,4ec3b6b4-b30c-4cd9-b124-d23e6ebdb9c9,3bcc7375-cb37-428a-babc-ce0949afc35b,0
31,0307,30363,2,litu,165,1.3,10.3,18.6,A,,,LI,finished,,,1,1,0,5,5,,,f8d2a459-7061-45ee-b967-bc9eed2732e6,52f202b6-3590-4b80-bf11-a070a7dc3ea4,0
32,0315,30560,2,quru,392,1.3,6.7,15.3,DS,"K,W",,DS,finished,B,B,1,0,0,1,,,,05c4ff7e-0787-497c-9677-55494b522038,39e6d419-fd51-4346-810a-1fc011d754c8,0
33,0317,32025,2,qupr,540,1.3,17.5,10,DS,,,,not started,,,1,0,0,,,,,1f556cc2-8984-48d6-8856-209c770c9114,36787402-f03a-4a07-97ff-dc952030723b,0
34,0318,32050,2,tiam,144,1.3,3,2.89999999999998,AU,B,,,not started,,,1,0,0,,,,,6ce6bfda-a75d-4da2-bcda-da43217b506c,2c6f654a-d8a4-4544-86be-9693385581d9,0
