"Submission.Id","Quad","Tag","StemTag","Species","QX","QY","DBH","Status.2020","HOM","Status.2021","DWR","Crown.position","Dead.crown.position","Dead.DBH","Percentage.of.crown.intact","Percentage.of.crown.living","Lean.angle.if.greater.than.15.degrees","Lianas","FAD","Wounded.main.stem","Canker..swelling..deformity","Rotting.trunk","Notes.2021","Crown.thinning","Epicormic.growth","EABF","D.shaped.exit.hole.count","Crown.position...10.cm.DBH"
"ed63f198-3ee5-494d-b1c2-29cb13c80b6d",715,70601,1,"qual",18.9,6.4,166,"PD",1.3,"PD","False",NA,NA,NA,0,0,NA,0,"B",3,NA,NA,NA,NA,NA,NA,NA,NA
"404843ca-33b7-4ce4-b127-849cc4861227",717,72037,1,"quru",17,11.3,359,"AU",1.3,"AU","False",3,NA,NA,60,50,NA,0,"B,R",2,NA,NA,NA,NA,NA,NA,NA,NA
"491580a3-7fe1-4ae1-9b8b-80080d807204",724,72274,1,"litu",9.8,5.8,165,"PD",1.3,"PD","False",1,NA,NA,0,0,NA,0,"B,R",3,NA,3,NA,NA,NA,NA,NA,NA
"491580a3-7fe1-4ae1-9b8b-80080d807204",724,72289,1,"cagl",6.7,10.2,441,"A",1.3,"AU","False",3,NA,NA,80,75,NA,0,"B",1,NA,NA,NA,NA,NA,NA,NA,NA
"14e454e4-1674-4b3e-8ecc-bc904494e1dd",725,72307,1,"litu",15.2,11.8,151,"PD",1.3,"PD","False",2,NA,NA,0,0,NA,0,"R,B",3,NA,2,NA,NA,NA,NA,NA,NA
"14e454e4-1674-4b3e-8ecc-bc904494e1dd",725,72308,1,"qual",15.2,13.3,662,"A",1.3,"AU","False",3,NA,NA,80,75,NA,0,"B,CR",2,NA,NA,NA,NA,NA,NA,NA,NA
"df359034-2bf7-4048-a721-43e0ce79f059",829,82368,1,"litu",16.8,3.4,1004,"A",1.3,"AU","False",3,NA,NA,95,75,NA,0,"B",1,NA,NA,NA,NA,NA,NA,NA,NA
"223b1d04-8f5c-42b2-9c7b-ff5bad8c53d1",815,80573,1,"cato",2.6,4.8,116,"A",1.3,"A","False",2,NA,NA,100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223b1d04-8f5c-42b2-9c7b-ff5bad8c53d1",815,80579,1,"cagl",11.8,11.1,529,"A",1.3,"A","False",4,NA,NA,100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23463380-182c-43a9-82de-4bdc2d12eb85",816,80694,1,"juni",4.4,4.3,463,"A",1.3,"AU","False",4,NA,NA,90,90,NA,0,"AN",NA,NA,NA,"Heavy woodpecker activity, possible insect infection",NA,NA,NA,NA,NA
