"Submission.Id","Quad","Tag","StemTag","Species","QX","QY","DBH","Status.2020","HOM","Status.2021","DWR","Crown.position","Dead.crown.position","Dead.DBH","Percentage.of.crown.intact","Percentage.of.crown.living","Lean.angle.if.greater.than.15.degrees","Lianas","FAD","Wounded.main.stem","Canker..swelling..deformity","Rotting.trunk","Notes.2021","Crown.thinning","Epicormic.growth","EABF","D.shaped.exit.hole.count","Crown.position...10.cm.DBH"
"ed63f198-3ee5-494d-b1c2-29cb13c80b6d",715,70601,1,"qual",18.9,6.4,166,"PD",1.3,"PD","False",NA,NA,NA,0,0,NA,0,"B",3,NA,NA,NA,NA,NA,NA,NA,NA
"404843ca-33b7-4ce4-b127-849cc4861227",717,72008,1,"quru",5.3,5.9,594,"PD",1.3,"PD","False",3,NA,NA,40,0,NA,0,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"404843ca-33b7-4ce4-b127-849cc4861227",717,72060,1,"quve",2.5,16.6,568,"PD",1.3,"PD","False",1,NA,NA,0,0,NA,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"3a3cc48b-eb29-4837-bf64-cd4f76c7df84",720,72142,1,"quve",8.6,8.9,370,"DS",1.3,"PD","False",3,NA,NA,45,0,NA,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"f9ee8d4e-650a-4c77-ac3c-7597d386fd32",722,72241,1,"cagl",8.2,13.9,112,"PD",1.3,"PD","False",1,NA,NA,0,0,NA,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"47597583-387e-4ca4-9712-a08d85a3a602",723,72254,1,"litu",18.3,13.4,139,"PD",1.3,"PD","False",NA,NA,NA,0,0,NA,0,"CR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"491580a3-7fe1-4ae1-9b8b-80080d807204",724,72274,1,"litu",9.8,5.8,165,"PD",1.3,"PD","False",1,NA,NA,0,0,NA,0,"B,R",3,NA,3,NA,NA,NA,NA,NA,NA
"491580a3-7fe1-4ae1-9b8b-80080d807204",724,72282,1,"litu",15.2,10.2,157,"DS",1.3,"PD","False",1,NA,NA,30,0,NA,0,"DF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14e454e4-1674-4b3e-8ecc-bc904494e1dd",725,72307,1,"litu",15.2,11.8,151,"PD",1.3,"PD","False",2,NA,NA,0,0,NA,0,"R,B",3,NA,2,NA,NA,NA,NA,NA,NA
"e6ba5ceb-9d8e-44d1-9cdd-21e5d2cc6ef6",727,72345,1,"litu",15.1,3.6,191,"PD",1.3,"PD","False",NA,NA,NA,0,0,NA,0,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9bdc32e7-9f74-46f1-92e5-6e7584386c4a",728,72359,1,"cagl",8.7,9.5,120,"DS",1.3,"PD","False",1,NA,NA,30,0,NA,0,"DF,R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"223b1d04-8f5c-42b2-9c7b-ff5bad8c53d1",815,80573,1,"cato",2.6,4.8,116,"A",1.3,"A","False",2,NA,NA,100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223b1d04-8f5c-42b2-9c7b-ff5bad8c53d1",815,80579,1,"cagl",11.8,11.1,529,"A",1.3,"A","False",4,NA,NA,100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223b1d04-8f5c-42b2-9c7b-ff5bad8c53d1",815,80580,1,"acru",19.8,10.2,332,"A",1.3,"A","False",3,NA,NA,100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223b1d04-8f5c-42b2-9c7b-ff5bad8c53d1",815,80582,1,"prav",17.6,14.7,261,"A",1.3,"A","False",3,NA,NA,100,100,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23463380-182c-43a9-82de-4bdc2d12eb85",816,80694,1,"juni",4.4,4.3,463,"A",1.3,"AU","False",4,NA,NA,90,90,NA,0,"AN",NA,NA,NA,"Heavy woodpecker activity, possible insect infection",NA,NA,NA,NA,NA
"62108cf2-7ff1-4a5e-a39e-9bb4062dff21",817,82039,1,"nysy",10.7,11.9,112,"A",1.3,"A","False",1,NA,NA,100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2904b697-cbfa-4bac-b2a0-dfc8e252bbab",602,60023,1,"qupr",14.3,2.3,172,"DS",1.3,"PD","False",1,NA,NA,0,0,NA,0,"R",NA,NA,3,NA,NA,NA,NA,NA,NA
"e559a48d-8271-4eb3-8b8e-e3d7ab395713",701,70208,1,"fram",12.3,2,253,"PD",1.3,"PD","False",1,NA,NA,0,0,NA,0,"I,B",3,NA,NA,NA,5,0,"W,VB,DE",4,NA
"bd4d5447-1222-463d-9b56-1988a0b6763d",801,80005,1,"fram",1.9,12.4,714,"PD",1.2,"PD","False",4,NA,NA,30,0,NA,0,"I",NA,NA,NA,NA,0,0,"AS,VB,W,DE",20,NA
"c3c3a239-ef00-4504-b105-3645fbf14c27",614,60455,1,"frni",4.4,13.5,140,"PD",1.3,"PD","False",1,NA,NA,0,0,NA,0,"R,UP",3,NA,3,NA,NA,NA,NA,NA,NA
"c3c3a239-ef00-4504-b105-3645fbf14c27",614,60570,1,"caco",15.2,16.7,440,"PD",1.3,"PD","False",1,NA,NA,0,0,NA,0,"B,HS,R",3,NA,3,NA,NA,NA,NA,NA,NA
"c3c3a239-ef00-4504-b105-3645fbf14c27",614,60562,1,"fagr",19,8.7,157,"DS",1.3,"PD","False",1,NA,NA,70,0,NA,0,"DF",NA,NA,NA,NA,NA,NA,NA,NA,NA
