"tag","StemTag","stemID","quadrat","sp","Latin","gx","gy","lx","ly","hom","dbh.2008","codes.2008","status.2008","date.2008","agb.2008","dbh.2013","codes.2013","status.2013","date.2013","agb.2013","dbh.2018","codes.2018","status.2018","date.2018","agb.2018","status.2014","status.2015","dbh.if.dead.2015","agb.if.dead.2015","perc.crown","crown.position","fad1","fad2","fad3","fad4","DF","liana.load","fraxinus.crown.thinning","fraxinus.epicormic.growth","EABF","DE.count","comments","date.2015","surveyors"
10001,1,1002,"0101","ulsp","Ulmus sp",6.1,1,6.1,1,1.3,188.3,"G;M;lost","G",2008-10-21,0.15,0,"DC","D",2013-03-13,0,NA,"DN","D","8/27/2018",NA,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-13,"Eng; Meakem "
10001,2,32184,"0101","ulsp","Ulmus sp",6.1,1,6.1,1,1.3,116.8,"G;S","A",2008-10-21,0.05,0,"DC","D",2013-03-13,0,NA,"DN","D","8/27/2018",NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10006,1,1006,"0101","juni","Juglans nigra",7.2,6.5,7.2,6.5,1.3,599.9,"NULL","A",2008-10-21,2.82,609,"NULL","A",2013-03-13,2.92,616,"NULL","A","8/27/2018",3,"PD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10007,1,1007,"0101","unk","Unidentified unk",7.4,9.4,7.4,9.4,1.3,178.9,"D;Q","D",2008-10-21,0.15,0,"DC","D",2013-03-13,0,NA,"DC","D","8/27/2018",NA,"PD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10009,1,1008,"0101","caco","Carya cordiformis",3.6,10.8,3.6,10.8,1.3,202.3,"I","A",2008-10-21,0.24,262,"NULL","A",2013-03-13,0.44,283,"I","A","8/27/2018",0.52,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10010,1,1009,"0101","juni","Juglans nigra",7.3,12.2,7.3,12.2,1.3,541.9,"NULL","A",2008-10-21,2.22,578,"NULL","A",2013-03-13,2.58,629,"NULL","A","8/27/2018",3.15,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Meakem "
10011,1,1010,"0101","ulru","Ulmus rubra",7.9,18.1,7.9,18.1,1.3,203.1,"D","D",2008-10-21,0.18,0,"DS","D",2013-03-13,0,NA,"DC","D","8/27/2018",NA,"PD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10013,1,1011,"0102","fram","Fraxinus americana",5.5,23.5,5.5,3.5,1.3,194.6,"NULL","A",2008-10-21,0.21,228,"NULL","A",2013-03-21,0.31,268,"NULL","A","8/27/2018",0.44,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10016,1,1013,"0102","ceoc","Celtis occidentalis",5.8,22.8,5.8,2.8,1.3,205.9,"NULL","A",2008-10-21,0.2,233.2,"NULL","A",2013-03-21,0.28,257,"NULL","A","8/27/2018",0.35,"DC","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"Dead in 2014.",2015-07-15,"Gonzalez "
10019,1,1016,"0102","ulru","Ulmus rubra",1.9,27.2,1.9,7.2,1.3,137.2,"D","D",2008-10-21,0.07,0,"DC","D",2013-03-21,0,NA,"DN","D","8/27/2018",NA,NA,"A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10020,1,1017,"0102","ulru","Ulmus rubra",2.2,27.1,2.2,7.1,1.3,13.4,"NULL","A",2008-10-21,0,61,"NULL","A",2013-03-21,0.01,NA,"DS","D","8/27/2018",NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10021,1,1018,"0102","fram","Fraxinus americana",5.1,30.1,5.1,10.1,1.3,120.1,"NULL","A",2008-10-21,0.07,160,"NULL","A",2013-03-21,0.14,206,"NULL","A","8/27/2018",0.24,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10035,1,1030,"0103","acru","Acer rubrum",4.8,50.1,4.8,10.1,1.3,450.1,"NULL","A",2008-10-21,1.34,467,"NULL","A",2013-03-29,1.47,505,"NULL","A","8/27/2018",1.79,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-14,"Gonzalez "
10036,1,1031,"0103","acru","Acer rubrum",6.2,49.5,6.2,9.5,1.3,425,"NULL","A",2008-10-21,1.16,420.8,"I","A",2013-03-29,1.13,442,"NULL","A","8/27/2018",1.28,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-14,"Gonzalez "
10037,1,1032,"0103","acru","Acer rubrum",8.1,53.6,8.1,13.6,1.3,378.5,"I","A",2008-10-21,0.87,381.2,"NULL","A",2013-03-29,0.88,NA,"DC","G","8/27/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-14,"Gonzalez "
10039,1,1033,"0103","libe","Lindera benzoin",8.1,54.1,8.1,14.1,1.3,55,"D","D",2008-10-21,0.01,0,"DN","D",2013-03-29,0,NA,"DN","D","8/27/2018",NA,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Meakem "
10045,1,1039,"0104","cato","Carya tomentosa",0.6,61.2,0.6,1.2,1.2,171.8,"A","A",2008-10-21,0.17,228.2,"NULL","A",2013-04-01,0.32,335,"I","A","8/27/2018",0.77,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"tag lost",2015-07-07,"Eng; Meakem "
10053,1,1046,"0104","acru","Acer rubrum",4.8,61.2,4.8,1.2,1.3,164.2,"NULL","A",2008-10-21,0.11,168.1,"NULL","A",2013-04-01,0.11,171,"NULL","A","8/27/2018",0.12,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10057,1,1049,"0104","fram","Fraxinus americana",6.2,69.7,6.2,9.7,1.3,184.8,"NULL","A",2008-10-21,0.19,0,"DS","D",2013-04-01,0,NA,"DS","D","8/27/2018",NA,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10058,1,1050,"0104","astr","Asimina triloba",6.7,70,6.7,10,1.3,64.6,"M","A",2008-10-21,0.01,72.4,"M","A",2013-04-01,0.02,83,"M","A","8/27/2018",0.02,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-08,"Eng; Meakem"
10058,2,32195,"0104","astr","Asimina triloba",6.7,70,6.7,10,1.3,57.3,"S","A",2008-10-21,0.01,68,"S","A",2013-04-01,0.01,77,"S","A","8/27/2018",0.02,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-06-25,"Eng "
10073,1,1064,"0104","libe","Lindera benzoin",4.2,72.5,4.2,12.5,1.3,32.9,"NULL","A",2008-10-21,0,54.1,"M","A",2013-04-01,0.01,66,"M","A","8/27/2018",0.01,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10080,1,1070,"0104","prse","Prunus serotina",3.7,73.4,3.7,13.4,1.3,30.2,"NULL","A",2008-10-21,0,68.9,"NULL","A",2013-04-01,0.01,100,"NULL","A","8/27/2018",0.03,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"DC is wrong!",2015-06-25,"Eng "
10101,1,1091,"0101","ulru","Ulmus rubra",8.9,1.8,8.9,1.8,1.3,95.8,"NULL","A",2008-10-21,0.03,100.5,"NULL","A",2013-03-13,0.03,NA,"DS","D","8/27/2018",NA,"PD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10105,1,1092,"0101","libe","Lindera benzoin",7.5,2.5,7.5,2.5,1.3,64.6,"NULL","A",2008-10-21,0.01,76,"NULL","A",2013-03-13,0.02,NA,"DC","D","8/27/2018",NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10106,1,1093,"0101","ulru","Ulmus rubra",11,2.5,11,2.5,1.3,95.3,"NULL","A",2008-10-21,0.03,94,"NULL","A",2013-03-13,0.03,NA,"DS","D","8/27/2018",NA,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-06,"Eng; Gonzalez"
10109,1,1094,"0101","caco","Carya cordiformis",15.1,2,15.1,2,1.3,116.1,"NULL","A",2008-10-21,0.07,119,"NULL","A",2013-03-13,0.07,127,"NULL","A","8/27/2018",0.08,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-01,"Gonzalez "
10111,1,1095,"0101","libe","Lindera benzoin",16.6,0.7,16.6,0.7,1.3,58.8,"I;M","A",2008-10-21,0.01,0,"DS","G",2013-03-13,0,NA,"DN","G","8/27/2018",NA,"PD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10116,1,1099,"0101","unk","Unidentified unk",12.5,10.1,12.5,10.1,1.3,163.7,"D;Q","D",2008-10-21,0.12,0,"DC","D",2013-03-13,0,NA,"DN","D","8/27/2018",NA,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-02,"Eng "
10119,1,1101,"0101","vipr","Viburnum prunifolium",15.7,9.4,15.7,9.4,1.3,72.5,"I;M","A",2008-10-21,0.02,84,"M","A",2013-03-13,0.02,103,"M","A","8/27/2018",0.04,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10119,2,32218,"0101","vipr","Viburnum prunifolium",15.7,9.4,15.7,9.4,1.3,63.4,"S","A",2008-10-21,0.01,68,"S","A",2013-03-13,0.01,77,"S","A","8/27/2018",0.02,"A","DC",NA,NA,1,"D","UP","DF","R","I, F",NA,0,NA,NA,NA,NA,"R (root), I (holes), check sp = qu?? Need coord ",2015-07-02,"Eng "
10119,3,36961,"0101","vipr","Viburnum prunifolium",15.7,9.4,15.7,9.4,1.3,46.8,"S","A",2008-10-21,0.01,67,"S","A",2013-03-13,0.01,90,"S","A","8/27/2018",0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10122,1,1104,"0101","juni","Juglans nigra",15.6,13.6,15.6,13.6,1.3,761.9,"NULL","A",2008-10-21,4.94,815,"NULL","A",2013-03-13,5.79,870,"NULL","A","8/27/2018",6.75,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-06-24,"Eng; Meakem "
10127,1,1105,"0101","ceoc","Celtis occidentalis",15.6,14.2,15.6,14.2,1.3,87.8,"NULL","A",2008-10-21,0.03,95,"NULL","A",2013-03-13,0.03,93,"NULL","A","8/27/2018",0.03,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10129,1,1107,"0101","ceoc","Celtis occidentalis",15.6,14.2,15.6,14.2,1.3,124.1,"NULL","A",2008-10-21,0.06,0,"DC","D",2013-03-13,0,NA,"DN","D","8/27/2018",NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10130,1,1108,"0101","ceoc","Celtis occidentalis",15.6,16.2,15.6,16.2,1.3,102.3,"NULL","A",2008-10-21,0.04,113,"NULL","A",2013-03-13,0.05,119,"NULL","A","8/27/2018",0.05,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-06-24,"Eng; Meakem "
10131,1,1109,"0101","casp","Carya sp",15.6,18.4,15.6,18.4,1.3,242.1,"D;G","D",2008-10-21,0.37,0,"DC","D",2013-03-13,0,NA,"DN","D","8/27/2018",NA,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-06-24,"Eng; Meakem "
