"survey_year","tag","StemTag","sp","genus","species","quadrat","gy","gx","ly","lx","last_main_census_dbh","last_main_census_agb_Mg","hom","ExactDate","timeint_days","previous_year_status","current_year_status","last_main_cenus_status","last_main_census_codes","cored","crown_position","crown_illumination","percent_of_crown_intact","score_crown_intact","percent_of_crown_living","score_crown_living","fad","liana_load","wounded_main_stem","rotting_trunk","canker_swelling_deformity","lean_angle_if_greater_than_15_degrees","dead_with_resprout","crown_position_if_dead","dbh_if_dead","agb_if_dead_Mg","sp_affected_by_eab","fraxinus_eabf","fraxinus_D_shaped_exit_hole_count","fraxinus_epicormic_growth","fraxinus_score_crown_living","surveyor","current_year_comment","previous_year_comment","submission_id"
2013,121412,1,"cagl","Carya","glabra","1212",233.9,222.2,NA,NA,91,0.04,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121413,1,"litu","Liriodendron","tulipifera","1212",225.4,239.6,NA,NA,367.5,0.76,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121414,1,"nysy","Nyssa","sylvatica","1213",240.7,232.8,NA,NA,363,0.7,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121415,1,"nysy","Nyssa","sylvatica","1213",242.9,235.7,NA,NA,125,0.05,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121417,1,"casp","Carya","sp","1213",251.3,238.2,NA,NA,NA,NA,0,2013-07-22,1711,"D","D",NA,"DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121420,1,"caovl","Carya","ovalis","1213",251.5,229,NA,NA,309.8,0.6,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121421,1,"quru","Quercus","rubra","1213",255.1,231.7,NA,NA,474.8,1.72,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121422,1,"litu","Liriodendron","tulipifera","1213",254,237.4,NA,NA,627.8,2.71,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121423,1,"litu","Liriodendron","tulipifera","1213",256.4,238.4,NA,NA,175.7,0.13,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121424,1,"litu","Liriodendron","tulipifera","1213",258.1,238.7,NA,NA,417,1.03,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121425,1,"caovl","Carya","ovalis","1213",258.5,237.2,NA,NA,171.6,0.15,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121426,1,"qupr","Quercus","prinus","1213",258.9,235.2,NA,NA,583,2.7,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121428,1,"cagl","Carya","glabra","1214",265.3,236.4,NA,NA,168.1,0.15,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121429,1,"qual","Quercus","alba","1214",267.9,238.3,NA,NA,110.5,0.07,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121430,1,"cato","Carya","tomentosa","1214",270.5,239.9,NA,NA,164.5,0.14,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121433,1,"nysy","Nyssa","sylvatica","1214",271.3,230.5,NA,NA,227.3,0.22,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121434,1,"quru","Quercus","rubra","1214",273.1,229,NA,NA,736.3,4.53,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121435,1,"cagl","Carya","glabra","1214",275,231.5,NA,NA,162.9,0.14,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121436,1,"fagr","Fagus","grandifolia","1214",278.7,235.8,NA,NA,109.6,0.04,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121438,1,"caco","Carya","cordiformis","1215",286.5,239.1,NA,NA,387.2,1,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121439,1,"cagl","Carya","glabra","1215",280,231.4,NA,NA,208.2,0.24,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121442,1,"litu","Liriodendron","tulipifera","1215",283.9,232.5,NA,NA,263.9,0.35,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
