"survey_year","sp","p","nAU","nAorAU","lci","uci"
"2008","acne",0,0,9,0,0
"2008","acpl",0,0,7,0,0
"2008","acru",0,0,268,0,0
"2008","aial",0,0,6,0,0
"2008","amar",0,0,95,0,0
"2008","astr",0,0,53,0,0
"2008","caca",0,0,1002,0,0
"2008","caco",0,0,275,0,0
"2008","cade",0,0,3,0,0
"2008","cagl",0,0,1098,0,0
"2008","caovl",0,0,383,0,0
"2008","casp",0,0,24,0,0
"2008","cato",0,0,925,0,0
"2008","ceca",0,0,342,0,0
"2008","ceoc",0,0,65,0,0
"2008","chvi",0,0,15,0,0
"2008","coal",0,0,1,0,0
"2008","cofl",0,0,193,0,0
"2008","crsp",0,0,1,0,0
"2008","divi",0,0,4,0,0
"2008","fagr",0,0,451,0,0
"2008","fram",0,0,788,0,0
"2008","frni",0,0,69,0,0
"2008","frpe",0,0,58,0,0
"2008","frsp",0,0,5,0,0
"2008","havi",0,0,225,0,0
"2008","ilve",0,0,1,0,0
"2008","juci",0,0,2,0,0
"2008","juni",0,0,126,0,0
"2008","libe",0,0,54,0,0
"2008","litu",0,0,2390,0,0
"2008","nysy",0,0,781,0,0
"2008","pato",0,0,3,0,0
"2008","pipu",0,0,1,0,0
"2008","pist",0,0,97,0,0
"2008","pivi",0,0,3,0,0
"2008","ploc",0,0,29,0,0
"2008","prav",0,0,65,0,0
"2008","prse",0,0,20,0,0
"2008","qual",0,0,432,0,0
"2008","quco",0,0,2,0,0
"2008","qufa",0,0,1,0,0
"2008","qumi",0,0,4,0,0
"2008","qupr",0,0,275,0,0
"2008","quru",0,0,436,0,0
"2008","qusp",0,0,4,0,0
"2008","quve",0,0,332,0,0
"2008","rops",0,0,26,0,0
"2008","saal",0,0,83,0,0
"2008","tiam",0,0,158,0,0
"2008","ulam",0,0,32,0,0
"2008","ulru",0,0,407,0,0
"2008","ulsp",0,0,44,0,0
"2008","unk",0,0,30,0,0
"2008","vipr",0,0,68,0,0
"2013","acne",0,0,10,0,0
"2013","acpl",0,0,7,0,0
"2013","acru",0,0,245,0,0
"2013","aial",0,0,6,0,0
"2013","amar",0,0,77,0,0
"2013","astr",0,0,54,0,0
"2013","caca",0,0,917,0,0
"2013","caco",0,0,271,0,0
"2013","cade",0,0,2,0,0
"2013","cagl",0,0,1057,0,0
"2013","caovl",0,0,371,0,0
"2013","casp",NA,0,0,NA,NA
"2013","cato",0,0,889,0,0
"2013","ceca",0,0,256,0,0
"2013","ceoc",0,0,55,0,0
"2013","chvi",0,0,10,0,0
"2013","coal",0,0,1,0,0
"2013","cofl",0,0,129,0,0
"2013","crsp",NA,0,0,NA,NA
"2013","divi",0,0,2,0,0
"2013","fagr",0,0,445,0,0
"2013","fram",0,0,745,0,0
"2013","frni",0,0,64,0,0
"2013","frpe",0,0,53,0,0
"2013","frsp",NA,0,0,NA,NA
"2013","havi",0,0,182,0,0
"2013","ilve",0,0,1,0,0
"2013","juci",0,0,2,0,0
"2013","juni",0,0,121,0,0
"2013","libe",0,0,16,0,0
"2013","litu",0,0,2303,0,0
"2013","nysy",0,0,741,0,0
"2013","pato",0,0,3,0,0
"2013","pipu",0,0,1,0,0
"2013","pist",0,0,86,0,0
"2013","pivi",0,0,3,0,0
"2013","ploc",0,0,28,0,0
"2013","prav",0,0,57,0,0
"2013","prse",0,0,16,0,0
"2013","qual",0,0,404,0,0
"2013","quco",0,0,1,0,0
"2013","qufa",0,0,1,0,0
"2013","qumi",0,0,4,0,0
"2013","qupr",0,0,245,0,0
"2013","quru",0,0,383,0,0
"2013","qusp",NA,0,0,NA,NA
"2013","quve",0,0,292,0,0
"2013","rops",0,0,5,0,0
"2013","saal",0,0,64,0,0
"2013","tiam",0,0,148,0,0
"2013","ulam",0,0,20,0,0
"2013","ulru",0,0,177,0,0
