"","DBH_dead_suspicious","Dead_but_now_alive","DC_but_now_A_AU_or_DS"
"X2014",0,12,4
"X2015",8,0,0
"X2016",2,57,0
"X2017",7,3,0
"X2018",17,9,0
"X2019",3,1,0
"X2020",10,20,0
