"Species","survey_year","dbh_class","AtoAU_rate","LCI_95","UCI_95","mean_dbh","N0","n_died","mean_timeint_yr"
"All","2013","[100,152]",0,0,0.07,0,2165,0,4.7
"All","2014","[100,152]",0,0,2.31,0,2179,0,1.26
"All","2015","[100,152]",0,0,2.95,0,2130,0,0.79
"All","2016","[100,152]",3.1,2.25,3.65,3.96,2099,65,1
"All","2017","[100,152]",5.32,4.12,3.91,6.72,2039,111,1.02
"All","2018","[100,152]",2.3,1.64,3.76,3.04,1971,43,0.95
"All","2019","[100,152]",1.95,1.24,1.02,2.78,1660,34,1.05
"All","2020","[100,152]",5.38,4.22,3.79,6.5,1926,106,1.02
"All","2021","[100,152]",10.69,8.84,5.41,12.81,1902,188,0.92
"All","2022","[100,152]",9.98,7.98,3.41,12.14,1779,189,1.07
"All","2023","[100,152]",10,8.63,2.88,11.49,1536,160,1.04
"All","2024","[100,152]",7.98,6.41,2.07,9.57,1521,115,0.95
"All","2025","[100,152]",0,0,3.69,0,1772,0,0.93
"All","2026","[100,152]",4.43,3.19,2.58,5.98,1733,74,0.96
"All","2013","(152,231]",0,0,0.04,0,1744,0,4.71
"All","2014","(152,231]",0,0,2.26,0,1757,0,1.25
"All","2015","(152,231]",0,0,2.91,0,1720,0,0.79
"All","2016","(152,231]",1.9,1.2,2.68,2.76,1691,32,1
"All","2017","(152,231]",3.36,2.36,3.16,4.49,1655,57,1.02
"All","2018","(152,231]",1.76,1.06,2.19,2.55,1615,27,0.95
"All","2019","(152,231]",1.77,1.04,0.54,2.57,1670,31,1.05
"All","2020","(152,231]",4.64,3.51,3.39,5.7,1668,79,1.02
"All","2021","(152,231]",7.93,6.33,4.3,9.58,1659,122,0.92
"All","2022","(152,231]",7.36,5.46,2.58,9.39,1557,122,1.07
"All","2023","(152,231]",10.55,8.86,2.43,12.28,1563,171,1.04
"All","2024","(152,231]",7.15,5.76,2.6,8.66,1559,105,0.94
"All","2025","(152,231]",0,0,3.16,0,1543,0,0.94
"All","2026","(152,231]",3.3,2.39,2.36,4.4,1509,48,0.96
"All","2013","(231,351]",0,0,0,0,1365,0,4.7
"All","2014","(231,351]",0,0,1.98,0,1368,0,1.26
"All","2015","(231,351]",0,0,1.33,0,1342,0,0.79
"All","2016","(231,351]",2.4,1.37,2.11,3.59,1336,32,1
"All","2017","(231,351]",2.75,1.83,2.92,3.75,1314,37,1.02
"All","2018","(231,351]",1.48,0.86,3.03,2.26,1288,18,0.94
"All","2019","(231,351]",2.39,1.41,0.99,3.38,1316,33,1.05
"All","2020","(231,351]",4.19,3.1,3.65,5.32,1308,56,1.02
"All","2021","(231,351]",6.26,5.02,4.15,7.62,1307,76,0.93
"All","2022","(231,351]",7.23,5.41,3.61,9.31,1237,95,1.06
"All","2023","(231,351]",10.57,8.83,2,12.6,1244,137,1.04
"All","2024","(231,351]",5.39,3.93,1.96,7.01,1231,62,0.93
"All","2025","(231,351]",0,0,1.8,0,1223,0,0.94
"All","2026","(231,351]",4.38,3.17,2.04,5.84,1210,51,0.96
"All","2013","(351,534]",0,0,0,0,1408,0,4.71
"All","2014","(351,534]",0,0,0.87,0,1413,0,1.25
"All","2015","(351,534]",0,0,1.65,0,1404,0,0.79
"All","2016","(351,534]",1.73,1.15,1.02,2.41,1393,24,1
"All","2017","(351,534]",3.18,2.22,2.27,4.23,1384,45,1.02
"All","2018","(351,534]",2.01,1.21,2.95,2.94,1361,26,0.95
"All","2019","(351,534]",2.38,1.58,1.03,3.34,1285,32,1.05
"All","2020","(351,534]",6.82,5.3,4.04,8.32,1276,89,1.02
"All","2021","(351,534]",6.79,5.33,4.65,8.36,1262,80,0.93
