"variable","survey_year","sp","estimate","LCI_95","UCI_95","N0","n_died","mean_timeint_yr"
"mortality_rates","2016","caco",2.64603224804602,0.504209242022632,5.13128316415947,228,6,0.994464257838299
"mortality_rates","2017","caco",1.34103809550405,0,2.64291780660298,219,3,1.02164339806038
"mortality_rates","2018","caco",2.51205331247875,0.468072628526974,5.54392967184536,206,5,0.965796800967551
"mortality_rates","2019","caco",2.92982660657728,0.557813128155155,6.05574018560446,204,6,1.0039323052972
"mortality_rates","2020","caco",2.68389634048116,0.782665289023649,5.12374629910025,219,6,1.0210933275826
"mortality_rates","2021","caco",2.9110093887099,0.939910764695437,5.4195886239037,218,6,0.944709228943353
"mortality_rates","2022","caco",7.03290325028844,3.7629833364569,10.1209735437113,212,16,1.07606576007645
"mortality_rates","2013","cade",0,0,0,1,0,4.69267624914442
"mortality_rates","2014","cade",0,0,0,1,0,1.19096509240246
"mortality_rates","2015","cade",0,0,0,1,0,0.80766598220397
"mortality_rates","2016","cade",0,0,0,1,0,0.974674880219028
"mortality_rates","2017","cade",0,0,0,1,0,0.980150581793292
"mortality_rates","2018","cade",0,0,0,1,0,0.928131416837782
"mortality_rates","2019","cade",0,0,0,1,0,1.03490759753593
"mortality_rates","2020","cade",100,100,100,1,1,0.982888432580424
"mortality_rates","2021","cade",0,0,0,1,0,1.11978097193703
"mortality_rates","2022","cade",0,0,0,1,0,1.05681040383299
"mortality_rates","2013","cagl",0,0,0,763,0,4.72984714862529
"mortality_rates","2014","cagl",0,0,0,768,0,1.24020362765229
"mortality_rates","2015","cagl",0,0,0,758,0,0.788399892364178
"mortality_rates","2016","cagl",0.266543770480854,0,0.681025143579739,752,2,0.997797340789608
"mortality_rates","2017","cagl",0.783474223000702,0.13949946099421,1.52460412943745,744,6,1.02944661558956
"mortality_rates","2018","cagl",0.574610896074079,0.13345825521918,1.2024819851942,731,4,0.952157836536076
"mortality_rates","2019","cagl",2.35161582399496,1.15522960923262,3.81790152820665,726,18,1.05500025455224
"mortality_rates","2020","cagl",3.88252352963795,2.39731662368115,5.61626133055085,738,29,1.01235557187879
"mortality_rates","2021","cagl",3.71463477612625,2.28712777305216,5.28381641167477,725,25,0.927021171139276
"mortality_rates","2022","cagl",4.4622533892171,3.10527230939835,6.27303714442763,708,33,1.04562311241043
"mortality_rates","2013","caovl",0,0,0,303,0,4.72178963276204
"mortality_rates","2014","caovl",0,0,0,305,0,1.25837008112566
"mortality_rates","2015","caovl",0,0,0,304,0,0.787222162181635
"mortality_rates","2016","caovl",0.991469573454751,0,2.28600188968564,303,3,0.998610744031282
"mortality_rates","2017","caovl",0.961323647169321,0,2.14052722538294,303,3,1.03008247436653
"mortality_rates","2018","caovl",0.716180716667703,0,1.84558406214365,300,2,0.930631987223363
"mortality_rates","2019","caovl",2.22169637138584,0.737732502849358,4.18974623060177,296,7,1.06521819560834
"mortality_rates","2020","caovl",1.63966537297664,0.379265190897248,3.11036760315782,298,5,1.02348763603122
"mortality_rates","2021","caovl",5.16718707412875,2.17770655612228,8.68470588174778,294,14,0.9196198671118
"mortality_rates","2022","caovl",5.46763623471455,2.95872314786062,8.26535058744671,291,17,1.07055610830034
"mortality_rates","2013","cato",0,0,0,625,0,4.72186392881588
"mortality_rates","2014","cato",0,0,0,628,0,1.27179708514803
"mortality_rates","2015","cato",0,0,0,620,0,0.78407630655097
"mortality_rates","2016","cato",0.809688402691866,0.19427318722724,1.54113780806198,616,5,1.0024800661351
"mortality_rates","2017","cato",0.798535200588624,0.172386713718086,1.52062614780271,607,5,1.03167359586481
"mortality_rates","2018","cato",0,0,0,595,0,0.93619772344256
"mortality_rates","2019","cato",2.05550347213181,0.810755185345318,3.69532219408818,592,13,1.06908910964352
"mortality_rates","2020","cato",2.56726569244028,1.31326067813142,3.99579392708425,612,16,1.01859680673547
