"Submission Id","Quad","Tag","StemTag","Species","QX","QY","DBH","Status 2020","HOM","Status 2021","DWR","Crown position","Dead crown position","Dead DBH","Percentage of crown intact","Percentage of crown living","Lean angle if greater than 15 degrees","Lianas","FAD","Wounded main stem","Canker; swelling, deformity","Rotting trunk","Notes 2021","Crown thinning","Epicormic growth","EABF","D-shaped exit hole count","Crown position < 10 cm DBH"
"777defe6-e42e-489a-b4b6-74e1a20618f4","1315","131272","1","fram","18.5","2.2","956","AU","1.3","PD","False",NA,NA,NA,0,0,NA,"0","B,I","3",NA,NA,"completely broken stem, unable to do any analysis",NA,NA,NA,NA,NA
"97ecb9ca-7996-4698-b4d0-7b31a59cb492","1610","160793","1","fram","16","1.4","NA","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3838e1c9-aba5-4df1-9859-5cd94044e941","1609","160783","1","fram","12.6","4.8","NA","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032704b6-8889-4284-ac1a-56aad8f54939","1606","160902","1","fram","8.6","6.6","129","PD","1.3","PD","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9c932078-0091-4cd6-911f-0a605e55bcbf","1603","160710","1","saal","16.6","8.1","279","PD","1.3","PD","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75c1f7f9-f62c-44b3-854e-a1c2b54d0834","1601","160201","1","fram","16.8","0.2","284","AU","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87a89c59-b8f1-4d3e-a655-a43bef6ab6bd","1222","122257","1","pist","16.8","19","129","AU","1.3","AU","False",NA,NA,NA,100,30,NA,"0","W,R","2",NA,"1",NA,NA,NA,NA,NA,NA
"94a5748b-c2a5-4ec9-940e-60ba510f23fd","1124","112308","1","ceca","18.4","12.2","100","A","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cfa94965-f675-4647-b8c2-a6a89b189363","1128","112421","1","litu","5.2","16.5","208","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bbf55bd4-b946-4d44-8fd9-8cfde205a2bf","1229","122498","1","litu","8.5","19","170","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bbf55bd4-b946-4d44-8fd9-8cfde205a2bf","1229","122501","1","ulru","13.2","15.5","110","A","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fb2aa4bf-c6b4-4236-a0b7-47c528cdb149","1230","122555","1","fram","2.2","12.8","121","DS","1.3","AU","False",NA,NA,NA,100,50,NA,"0","I",NA,NA,NA,NA,"4","6","AS,W",NA,NA
"c27c762a-b7df-4cb5-bce7-e8c519438767","1326","132409","1","quru","9.7","4.2","792","PD","1.3","PD","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cc223de2-66ce-4d5c-a53f-d0cfc0265bc9","923","92284","2","fram","10.4","8.9","18","PD","NA","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d4d5297f-9035-45f5-9da2-2a73c5d1838d","924","92360","1","litu","19","6.5","103","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d4d5297f-9035-45f5-9da2-2a73c5d1838d","924","92381","1","ceca","7.5","13","145","DS","1.3","PD","False",NA,NA,NA,0,0,NA,"0",NA,"3",NA,"3",NA,NA,NA,NA,NA,NA
"bb020cc7-82c1-4037-8f9b-6c2c676379bb","926","92442","1","litu","0.8","13.4","192","PD","1.3","PD","False",NA,NA,NA,0,0,NA,"0",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA
"22a3a36b-d1c2-476a-88f4-205de283bedf","1022","102247","1","quve","19","2.6","778","DS","1.3","PD","False",NA,NA,NA,0,0,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294be91b-238a-441c-a169-43c7e469e302","1016","101294","1","ceca","18.3","14","105","PD","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
