"Submission Id","Quad","Tag","StemTag","Species","QX","QY","DBH","Status 2020","HOM","Status 2021","DWR","Crown position","Dead crown position","Dead DBH","Percentage of crown intact","Percentage of crown living","Lean angle if greater than 15 degrees","Lianas","FAD","Wounded main stem","Canker; swelling, deformity","Rotting trunk","Notes 2021","Crown thinning","Epicormic growth","EABF","D-shaped exit hole count","Crown position < 10 cm DBH"
"8cb62d4c-821c-4795-8386-53ef1cf0c3b8","1216","121456","1","ceca","13","2.2","124","AU","1.3","AU","False","1",NA,NA,95,50,20,"0","W",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3b472216-ad57-4788-b6ba-cc64e567fbe5","306","30318","1","juni","6","5.6","381","AU","1.3","AU","False","4",NA,NA,80,80,NA,"0","W,R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"093ea1e7-77a0-4cb9-b273-1a7d26aac27a","307","30362","2","caca","12.8","17.1","110","AU","1.3","AU","False","1",NA,NA,100,60,NA,"0","W,R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"c68a93a2-70ec-4257-94b8-9298de446322","308","30369","1","caca","19.8","6.6","167","A","1.3","AU","False","1",NA,NA,90,85,NA,"0","W,R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"0db2a088-e9ad-4cba-9740-303e97431c7a","324","32295","1","caovl","6.5","17.8","120","A","1.3","AU","False","1",NA,NA,50,40,NA,"0","CR,W",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22d741ec-5ce0-4c02-b487-cb1c10fa9528","206","20519","1","ceca","31.8","106.3","210","A","1.3","AU","False","1",NA,NA,90,80,NA,"0","W,R,AN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5edeb5b2-533f-42f8-a0f8-102fbee1abfd","208","20586","2","acru","27","141.7","243","A","1.3","AU","False","2",NA,NA,100,100,NA,"0","W,HS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"a8b2d091-03c6-4a4a-a0e0-1e7a0e76b00e","209","20622","1","caca","32","165.10001","142","A","1.3","AU","False","1",NA,NA,100,100,NA,"0","CR,W",NA,NA,NA,NA,NA,NA,NA,NA,NA
"a8b2d091-03c6-4a4a-a0e0-1e7a0e76b00e","209","20633","1","acru","27.2","178.10001","318","AU","1.3","AU","False","1",NA,NA,100,95,NA,"0","K,W",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86aa55ae-90e3-4666-b70e-8cd326938316","210","20659","1","caca","30.2","193.2","121","A","1.3","AU","False","1",NA,NA,90,90,NA,"0","W,R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9057409f-e5ad-4e83-8739-2d527ce2a752","211","20678","1","litu","34.4","206.7","436","A","1.3","AU","False","3",NA,NA,100,85,NA,"0","CR,W",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9057409f-e5ad-4e83-8739-2d527ce2a752","211","20683","1","caca","23.8","213.2","100","A","1.3","AU","False","1",NA,NA,90,85,NA,"0","W",NA,NA,NA,NA,NA,NA,NA,NA,NA
