"sp","death_year","tag","StemTag","last_main_census_dbh","hom","quadrat","gy","gx","ly","lx","percent_of_crown_intact","fad"
"caco",2026,122023,1,318,"1.3","1217",332.2,234.4,12.2,14.4,4,"F"
"caco",2026,160999,1,117,"1.3","1613",241.2,308.3,1.19999999999999,8.30000000000001,5,"U"
"caco",2025,121314,1,240,"1.3","1212",239.4,235.6,19.4,15.6,1,""
"cagl",2026,182635,1,550,"1.3","1825",497.1,354.7,17.1,14.7,NA,""
"cagl",2026,142113,1,488,"1.3","1417",325,263,5,3,5,"U"
"cagl",2026,60140,1,175,"1.3","0607",127.1,119.6,7.09999999999999,19.6,5,"R"
"cagl",2026,90659,1,153,"1.3","0913",247.8,165.8,7.80000000000001,5.80000000000001,5,"B,K"
"cagl",2026,132222,1,126,"1.3","1321",410.4,247.9,10.4,7.90000000000001,5,"W,R"
"cagl",2026,132244,1,111,"1.3","1322",439.6,250.4,19.6,10.4,5,"U"
"cagl",2025,30571,1,333,"1.3","0316",304.3,42.4,4.30000000000001,2.4,1,"B"
"cagl",2025,60301,1,318,"1.3","0606",101,108,1,8,4,"B,R"
"cagl",2025,111204,1,291,"1.3","1111",219.9,216.1,19.9,16.1,4,"B,W"
"cagl",2025,70545,1,203,"1.3","0712",221.2,132.1,1.19999999999999,12.1,4,"B,U"
"cagl",2025,171279,1,145,"1.3","1710",186.7,335.9,6.69999999999999,15.9,4,""
"cato",2026,60040,2,346,"1.3","0603",43.7,114.3,3.7,14.3,1,"U"
"cato",2026,10668,1,328,"1.3","0114",269,2.7,9,2.7,4,"K"
"cato",2026,42298,1,241,"1.3","0425",497.1,78.6,17.1,18.6,5,"U"
"cato",2026,42324,1,158,"1.3","0426",500.3,75.2,0.300000000000011,15.2,5,""
"cato",2026,122311,1,107,"1.3","1223",458.4,220.4,18.4,0.400000000000006,2,"B"
"cato",2025,10621,1,584,"1.3","0111",214.3,1.6,14.3,1.6,3,"U"
"cato",2025,60534,1,245,"1.3","0611",212.6,107.4,12.6,7.40000000000001,4,"R"
"cato",2025,52166,1,169,"1.3","0521",416.6,93.6,16.6,13.6,3,""
"cato",2025,60536,1,121,"1.3","0611",213.7,106.9,13.7,6.90000000000001,4,"U"
"cato",2025,121178,1,108,"1.3","1209",168.8,231.8,8.80000000000001,11.8,1,"B"
"juni",2026,20203,1,686,"1.3","0204",73.3,35.4,13.3,15.4,5,"K"
"juni",2025,70041,1,353,"1.3","0702",38.7,126,18.7,6,4,"W,R"
"litu",2026,90591,1,663,"1.3","0914",269,170.4,9,10.4,4,"R,K"
"litu",2026,52047,1,320,"1.3","0518",351.5,98.2,11.5,18.2,NA,""
"litu",2026,150780,1,195,"1.3","1504",79.9,283.7,19.9,3.69999999999999,5,"U"
"litu",2026,22591,1,178,"1.3","0231",603.6,39.5,3.60000000000002,19.5,1,"B"
"litu",2026,90360,1,175,"1.3","0905",86.7,161.8,6.7,1.80000000000001,1,"B"
"litu",2026,32405,1,153,"1.3","0328",559.6,59.2,19.6,19.2,2,"B,U"
"litu",2026,60080,1,137,"1.3","0604",77.2,115.9,17.2,15.9,2,"B"
"litu",2026,50630,1,130,"1.3","0513",253.8,94.8,13.8,14.8,5,"U"
"litu",2026,32544,1,106,"1.3","0332",631.4,47.6,11.4,7.6,1,"B"
"litu",2026,62259,1,100,"1.3","0623",456.8,101.3,16.8,1.3,4,"U"
"litu",2025,92376,1,374,NA,"0924",474.7,170.2,14.7,10.2,1,""
"litu",2025,50647,1,318,"1.3","0514",272.4,99.6,12.4,19.6,1,"B"
"litu",2025,101069,2,291,"1.3","1008",150,191.1,10,11.1,4,"R"
"litu",2025,141012,1,206,"1.3","1411",200.6,275.4,0.599999999999994,15.4,4,"F"
"litu",2025,50650,1,194,"1.3","0514",274.9,99.5,14.9,19.5,4,"B,R"
"litu",2025,52440,1,181,"1.3","0532",623.2,90,3.20000000000005,10,2,"U"
"litu",2025,82317,1,151,"1.3","0827",522.1,143.6,2.10000000000002,3.59999999999999,2,""
"litu",2025,122321,1,141,"1.3","1224",468.7,226.4,8.69999999999999,6.40000000000001,1,"U"
"litu",2025,100799,1,139,"1.3","1006",105.6,188.7,5.59999999999999,8.69999999999999,4,"B,K,R"
"litu",2025,32511,1,104,"1.3","0331",618.3,43,18.3,3,3,"U"
"litu",2025,121154,1,104,"1.3","1208",153.8,237,13.8,17,3,"W"
"litu",2025,52117,1,103,"1.3","0520",388.1,96.4,8.10000000000002,16.4,2,""
"qual",2026,70452,1,674,"1.3","0711",218.1,121.7,18.1,1.7,5,"I,U"
"qual",2026,30076,1,475,"1.3","0304",74.6,42.5,14.6,2.5,4,"B"
"qual",2025,151635,1,346,"1.3","1516",319.7,297.3,19.7,17.3,4,"U"
